Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
156,Onyeka Okongwu,C,25,ATL,6,6,199,28,48,.583,10,22,.455,18,26,.692,.688,9,12,.750,8,32,40,14,7,5,7,21,75,okongon01
157,Kelly Olynyk,C,34,SAS,9,0,35,8,15,.533,5,8,.625,3,7,.429,.700,4,7,.571,0,7,7,3,4,0,4,3,25,olynyke01
158,Kelly Oubre Jr.,SF,30,PHI,11,11,364,48,106,.453,10,39,.256,38,67,.567,.500,22,27,.815,12,52,64,12,5,5,8,28,128,oubreke01
159,Noah Penda,SF,21,ORL,1,0,3,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,0,0,0,pendano01
160,Julian Phillips,SF,22,MIN,5,0,25,2,6,.333,2,4,.500,0,2,.000,.500,0,0,,0,1,1,2,2,0,1,1,6,phillju01
161,Jalen Pickett,SG,26,DEN,2,0,4,0,0,,0,0,,0,0,,,1,2,.500,0,0,0,1,0,0,0,0,1,pickeja02
162,Mason Plumlee,C,35,SAS,6,0,18,2,3,.667,0,0,,2,3,.667,.667,0,0,,0,4,4,2,0,3,1,4,4,plumlma01
163,Jakob Poeltl,C,30,TOR,7,7,134,20,31,.645,0,0,,20,31,.645,.645,9,14,.643,12,30,42,10,6,6,6,19,49,poeltja01
164,Craig Porter Jr.,PG,25,CLE,7,0,21,1,3,.333,0,1,.000,1,2,.500,.333,0,0,,0,3,3,4,0,0,4,1,2,portecr01
165,Payton Pritchard,PG,28,BOS,7,0,231,39,92,.424,17,55,.309,22,37,.595,.516,7,8,.875,9,17,26,36,3,0,5,5,102,pritcpa01
